                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.7841,                0.38372,                 0.9993,                0.98479,                0.96514,                0.98697,                0.72254,                 1.1232,                0.41949,                 1.2615,              0.0005744,              0.0005744,              0.0005744
                     75,                0.77437,                0.38761,                0.99164,                0.98444,                0.96477,                0.98883,                0.72572,                 1.1145,                0.40854,                  1.261,              0.0005546,              0.0005546,              0.0005546
                     76,                0.77805,                0.38517,                0.99762,                0.98017,                 0.9692,                0.99006,                0.71678,                 1.1231,                0.41605,                 1.2607,              0.0005348,              0.0005348,              0.0005348
                     77,                0.76386,                0.37569,                0.98984,                0.98726,                0.97168,                0.99053,                0.71743,                 1.1373,                0.41045,                 1.2857,               0.000515,               0.000515,               0.000515
                     78,                0.78468,                0.38687,                 0.9983,                0.96982,                0.98004,                0.98833,                0.71457,                 1.1283,                0.40585,                 1.2785,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.7759,                 0.3742,                0.99267,                0.98026,                 0.9737,                0.98744,                0.72385,                 1.1246,                  0.408,                 1.2775,              0.0004754,              0.0004754,              0.0004754
                     80,                0.76014,                0.37262,                0.98646,                0.97751,                0.98257,                0.99092,                0.71829,                 1.1302,                0.40972,                 1.2887,              0.0004556,              0.0004556,              0.0004556
                     81,                0.73813,                0.36046,                0.97856,                 0.9776,                0.98039,                0.99052,                0.72584,                 1.1192,                0.40596,                 1.2728,              0.0004358,              0.0004358,              0.0004358
                     82,                0.73756,                0.36525,                0.97509,                 0.9703,                0.98693,                0.99101,                0.72181,                   1.12,                0.40443,                 1.2833,               0.000416,               0.000416,               0.000416
                     83,                0.73999,                0.36414,                0.98108,                0.97618,                0.98205,                0.98933,                0.72513,                 1.1249,                0.40447,                 1.2791,              0.0003962,              0.0003962,              0.0003962
                     84,                0.73315,                0.36666,                 0.9757,                0.97413,                0.98425,                0.98634,                0.72801,                 1.1263,                0.40419,                 1.2741,              0.0003764,              0.0003764,              0.0003764
                     85,                0.74074,                0.35646,                0.98576,                0.97195,                0.98128,                0.98828,                0.72892,                 1.1206,                0.40438,                 1.2711,              0.0003566,              0.0003566,              0.0003566
                     86,                0.71952,                0.35358,                0.97457,                 0.9782,                0.97762,                0.98739,                0.71855,                 1.1199,                 0.4005,                 1.2818,              0.0003368,              0.0003368,              0.0003368
                     87,                0.70886,                0.34981,                0.96682,                0.97392,                0.97603,                0.98574,                0.73079,                 1.1376,                0.40231,                 1.2994,               0.000317,               0.000317,               0.000317
                     88,                0.70489,                0.34979,                0.96711,                0.97345,                0.98475,                0.98744,                0.72586,                 1.1263,                0.39905,                 1.2698,              0.0002972,              0.0002972,              0.0002972
                     89,                0.71629,                0.34951,                0.96983,                0.97727,                0.98693,                0.99037,                0.73086,                 1.1227,                0.40899,                 1.2771,              0.0002774,              0.0002774,              0.0002774
                     90,                0.72423,                0.35499,                0.97444,                0.98045,                0.98325,                0.98945,                0.72735,                 1.1242,                0.39977,                 1.2961,              0.0002576,              0.0002576,              0.0002576
                     91,                0.68866,                0.31982,                 0.9756,                0.98376,                0.98039,                0.98977,                  0.724,                 1.1185,                0.39649,                 1.2698,              0.0002378,              0.0002378,              0.0002378
                     92,                0.68606,                0.31847,                0.97398,                 0.9731,                0.98039,                0.98478,                0.72701,                 1.1188,                0.39742,                 1.2799,               0.000218,               0.000218,               0.000218
                     93,                0.68304,                0.31729,                0.97214,                0.97204,                0.98475,                0.98626,                 0.7254,                 1.1329,                0.40136,                 1.2757,              0.0001982,              0.0001982,              0.0001982
                     94,                0.66685,                0.31196,                0.96769,                0.98495,                0.98039,                 0.9894,                0.73258,                  1.119,                0.39166,                 1.2831,              0.0001784,              0.0001784,              0.0001784
                     95,                0.66705,                0.31143,                0.96639,                0.98465,                 0.9781,                0.98968,                0.72919,                 1.1237,                0.39487,                 1.2942,              0.0001586,              0.0001586,              0.0001586
                     96,                0.65654,                0.30419,                0.95826,                0.98074,                0.97821,                0.98824,                 0.7282,                 1.1227,                0.39191,                 1.2935,              0.0001388,              0.0001388,              0.0001388
                     97,                0.64635,                0.30009,                0.96006,                 0.9762,                0.98297,                0.98819,                0.72305,                 1.1127,                0.39469,                 1.2873,               0.000119,               0.000119,               0.000119
                     98,                0.63987,                0.29743,                0.95955,                0.97739,                0.98475,                0.98711,                0.72335,                 1.1158,                0.39292,                 1.2925,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.6395,                0.29808,                0.95776,                0.97706,                0.98257,                0.98579,                0.72687,                 1.1126,                 0.3951,                 1.2881,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.63886,                0.29666,                 0.9526,                0.98018,                0.98475,                0.98704,                0.72506,                 1.1112,                0.39434,                 1.2852,               5.96e-05,               5.96e-05,               5.96e-05
